Data Source,Variable Label,Definition,Outcome/ Structural/ Proximate
Ad-hoc,iso3,Iso3 country code,
Ad-hoc,month,Month considered,
Ad-hoc,year,Year considered,
ACAPS,ACAPS_risk_level,,
ACLED,ACLED_BRD_per_100k,Total number of battle-related deaths as reported by ACLED,O/P
ACLED,ACLED_Gang_Events,"Total number of gang-related events as reported by ACLED, excluding peaceful protests",O/P
ACLED,ACLED_battles; ACLED_battles_.*,Total number of battles as reported by ACLED; and number of battle events by subtype,O/P
ACLED,ACLED_conflict_related_deaths,Total number of conflict-related deaths as reported by ACLED,O/P
ACLED,ACLED_events,"Total number of events reported by ACLED, excluding peaceful protests",O/P
ACLED,ACLED_explosions_remote_violence; ACLED_explosions_remote_violence_.*,Total number of explosions and remote violence events as reported by ACLED; and number of explosions/remote violence events by subtype,O/P
ACLED,ACLED_protests; ACLED_protests_.*,Total number of protests as reported by ACLED; and number of protest events by subtype,O/P
ACLED,ACLED_riots; ACLED_riots_.*,Total number of riots as reported by ACLED; and number of riot events by subtype,O/P
ACLED,ACLED_strategic_developments; ACLED_strategic_developments,Total number of strategic developments events as reported by ACLED; and number of strategic development events by subtype,O/P
ACLED,ACLED_violence_against_civilians; ACLED_violence_against_civilians_.*,Total number of violence against civilians events as reported by ACLED; and number of violence against civilians events by subtype,O/P
BTI,BTI_democracy_status,,
BTI,BTI_economy_status,,
BTI,BTI_governance_category,,
BTI,BTI_governance_category_text,,
BTI,BTI_governance_difficulty,,
BTI,BTI_governance_index,,
BTI,BTI_governance_performance,,
BTI,BTI_status_category,,
BTI,BTI_status_category_text,,
BTI,BTI_status_index,,
CONFLICTFORECAST,CONFLICTFORECAST_armed_conflict_12m,,
CONFLICTFORECAST,CONFLICTFORECAST_stock_tokens; CONFLICTFORECAST_stock_topic_[0-9]*,,
EIU,EIU_macroeconomic_risk,Macroeconomic operational risk score as attributed by the Economist Intelligence Unit,P
EIU,EIU_political_stability_risk,Macroeconomic political stability  risk score as attributed by the Economist Intelligence Unit,
EIU,EIU_security_risk,Macroeconomic security risk score as attributed by the Economist Intelligence Unit,
EM-DAT,EMDAT_affected,Number of people affected by a Natural Hazard as reported by EM-DAT,P
EM-DAT,EMDAT_damage,Total damage of disasters adjusted for CPI as reported by Em-DAT,P
EM-DAT,EMDAT_deaths,Number of deaths from a Natural Hazard as reported by Em-DAT,P
EM-DAT,EMDAT_declarations,Whether an official emergency was declared in the country,P
EM-DAT,EMDAT_disaster_days,Number of days in a given month that a country is affected by a disaster as reported by Em-DAT,P
EM-DAT,EMDAT_disasters,Number of disasters in a given month as reported by Em-DAT,P
EPR,EPR_discriminated,Proportion of population that has discriminated power status,S
EPR,EPR_dominant,Proportion of population that has dominant power status,S
EPR,EPR_irrelevant,Proportion of population that has irrelevant power status,S
EPR,EPR_junior_partner,Proportion of population that has junior partner power status,S
EPR,EPR_monopoly,Proportion of population that has monopoly power status,S
EPR,EPR_powerless,Proportion of population that has powerless power status,S
EPR,EPR_selfexclusion,Proportion of population that has self-exclusion power status,S
EPR,EPR_senior_partner,Proportion of population that has senior partner power status,S
EPR,EPR_state_collapse,Binary indicator for whether or not country is experiencing state collapse,S
FEWS,FEWS_ipc1,"Percentage of the country’s territory currently in IPC Phase 1, as reported by FEWS NET",P
FEWS,FEWS_ipc1_4month,Percentage of the country’s territory projected to experience IPC Phase 1 in the 4-month forecast by FEWS NET,P
FEWS,FEWS_ipc1_8month,Percentage of the country’s territory projected to experience IPC Phase 1 in the 8-month forecast by FEWS NET,P
FEWS,FEWS_ipc2,"Percentage of the country’s territory currently in IPC Phase 2, as reported by FEWS NET",P
FEWS,FEWS_ipc2_4month,Percentage of the country’s territory projected to experience IPC Phase 2 in the 4-month forecast by FEWS NET,P
FEWS,FEWS_ipc2_8month,Percentage of the country’s territory projected to experience IPC Phase 2 in the 8-month forecast by FEWS NET,P
FEWS,FEWS_ipc3,"Percentage of the country’s territory currently in IPC Phase 3, as reported by FEWS NET",P
FEWS,FEWS_ipc3_4month,Percentage of the country’s territory projected to experience IPC Phase 3 in the 4-month forecast by FEWS NET,P
FEWS,FEWS_ipc3_8month,Percentage of the country’s territory projected to experience IPC Phase 3 in the 8-month forecast by FEWS NET,P
FEWS,FEWS_ipc4,"Percentage of the country’s territory currently in IPC Phase 4, as reported by FEWS NET",P
FEWS,FEWS_ipc4_4month,Percentage of the country’s territory projected to experience IPC Phase 4 in the 4-month forecast by FEWS NET,P
FEWS,FEWS_ipc4_8month,Percentage of the country’s territory projected to experience IPC Phase 4 in the 8-month forecast by FEWS NET,P
FEWS,FEWS_ipc5,"Percentage of the country’s territory currently in IPC Phase 5, as reported by FEWS NET",P
FEWS,FEWS_ipc5_4month,Percentage of the country’s territory projected to experience IPC Phase 5 in the 4-month forecast by FEWS NET,P
FEWS,FEWS_ipc5_8month,Percentage of the country’s territory projected to experience IPC Phase 5 in the 8-month forecast by FEWS NET,P
FEWS,FEWS_ipcNA,Percentage of the country’s territory not currently reported on by FEWS NET,P
FEWS,FEWS_ipcNA_4month,Percentage of the country not covered by FEWS NET’s existing 4-month IPC forecasts,P
FEWS,FEWS_ipcNA_8month,Percentage of the country not covered by FEWS NET’s existing 8-month IPC forecasts,P
FSI,FSI,Fragile States Index,S
GIC,GIC_coup_failed,Total number of failed coups as reported by the Global Instances of Coups dataset,O/P
GIC,GIC_coup_successful,Total number of successful coups as reported by the Global Instances of Coups dataset,O/P
ICEWS,ICEWS_NEG,,
ICEWS,ICEWS_POS,,
ICEWS,ICEWS_UNREST,,
ICEWS,NEG_ICEWS_.*_event_count,Number of events in month related to '.*',
ICEWS,POS_ICEWS_.*_event_count,Number of events in month related to '.*',
ICG,CW_alert,CrisisWatch’s conflict alert “indicates that there is a particular risk in the month ahead of new conflict or a major escalation”,O/P
ICG,CW_resolution_opportunity,CrisisWatch’s conflict resolution opportunity indicates that there is a particular opportunity in the month ahead to advance peace efforts.,P
ICG,CW_risk,"CrisisWatch’s risk assessment: 1 for more risk (‘situation degraded’), 0 for stasis (‘situation unchanged’), -1 for less risk (‘situation improved’)",O/P
